,Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes,source,Enrichment_Term,score,significance_str,immune_related,dataset
306,prerank,KEGG_2021_Human__Regulation of lipolysis in adipocytes,0.2808811254080106,0.6805260608921226,0.8838120104438643,0.9973019744706191,1.0,4/36,9.24%,PTGS2;PLAAT3;ABHD5;PNPLA2,KEGG_2021_Human,Regulation of lipolysis in adipocytes,0.001173321137347864,ns,False,Dwarfhamster_ld
305,prerank,KEGG_2021_Human__Chemical carcinogenesis,0.24736768406407258,0.6828621828749616,0.924892703862661,0.9993754331279424,1.0,25/118,20.50%,PTGS2;EIF4EBP1;DLL1;MGST1;PAQR5;STAT5B;CCND3;STAT5A;CREB3;JAK2;KLF5;AIP;RPS6KA1;MAP2K2;STAT3;HPGDS;GSTP1;IKBKE;BIRC5;MAP2K1;PAQR7;FOS;ARRB2;RXRB;GSTM4,KEGG_2021_Human,Chemical carcinogenesis,0.00027133068701632243,ns,False,Dwarfhamster_ld
304,prerank,KEGG_2021_Human__Platelet activation,0.2574692258297408,0.6868576166904418,0.9030837004405287,0.9996663918841744,1.0,14/85,13.33%,FCER1G;VAMP8;PIK3R5;MAPK13;ITPR1;ORAI1;ITGA2B;MYL12B;LCP2;SYK;PLA2G4A;MYL12A;PPP1CA;ACTG1,KEGG_2021_Human,Platelet activation,0.00014490833646393293,ns,False,Dwarfhamster_ld
303,prerank,KEGG_2021_Human__GABAergic synapse,0.2761685720179829,0.6907070062284687,0.8709288299155609,1.0,1.0,6/45,10.35%,GNGT2;GABARAP;GNG10;GNG5;GABARAPL1;GLUL,KEGG_2021_Human,GABAergic synapse,-0.0,ns,False,Dwarfhamster_ld
301,prerank,KEGG_2021_Human__Melanoma,0.2782258865272573,0.6933063042029215,0.8558786346396966,1.0,1.0,8/45,17.14%,CDKN1A;BAK1;GADD45G;MAP2K2;E2F3;PDGFA;BAX;MAP2K1,KEGG_2021_Human,Melanoma,-0.0,ns,False,Dwarfhamster_ld
300,prerank,KEGG_2021_Human__Vibrio cholerae infection,0.2867408788061587,0.6971991104059745,0.8456632653061225,1.0,1.0,7/38,14.31%,TCIRG1;ATP6V1G1;ATP6V0E1;SEC61G;ATP6V1F;ACTG1;KDELR2,KEGG_2021_Human,Vibrio cholerae infection,-0.0,ns,True,Dwarfhamster_ld
299,prerank,KEGG_2021_Human__mRNA surveillance pathway,0.26490050779215896,0.7035270877449323,0.8733031674208145,0.9990945661069331,1.0,13/74,15.79%,CPSF4;CLP1;SMG5;CPSF3;NXT1;RBM8A;NXF1;SAP18;SSU72;PPP1CA;PPP2R5C;SMG7;PPP1CB,KEGG_2021_Human,mRNA surveillance pathway,0.0003934030706125043,ns,False,Dwarfhamster_ld
298,prerank,KEGG_2021_Human__Colorectal cancer,0.2693030445714943,0.7042780863558548,0.8687572590011614,1.0,1.0,13/69,17.14%,CASP3;CDKN1A;BAK1;GADD45G;PMAIP1;CYCS;MAP2K2;CASP9;LEF1;AREG;BIRC5;BAX;MAP2K1,KEGG_2021_Human,Colorectal cancer,-0.0,ns,False,Dwarfhamster_ld
297,prerank,KEGG_2021_Human__Cholinergic synapse,0.270633195168267,0.7067271767506893,0.8553240740740741,1.0,1.0,7/63,8.30%,PIK3R5;GNGT2;GNG10;ITPR1;GNG5;CREB3;JAK2,KEGG_2021_Human,Cholinergic synapse,-0.0,ns,False,Dwarfhamster_ld
296,prerank,KEGG_2021_Human__DNA replication,0.2981280937457382,0.7083075649031577,0.8368421052631579,1.0,1.0,7/33,23.56%,RNASEH1;SSBP1;POLD3;RNASEH2B;POLA2;PRIM1;POLE4,KEGG_2021_Human,DNA replication,-0.0,ns,False,Dwarfhamster_ld
295,prerank,KEGG_2021_Human__Insulin signaling pathway,0.2605563880839031,0.7090943368611432,0.881578947368421,1.0,1.0,17/96,18.52%,SOCS1;MKNK1;PPP1R3B;SOCS3;EIF4EBP1;PRKAB1;PPP1R3D;PYGL;IKBKB;PHKG2;MAP2K2;PPP1CA;EIF4E2;PPP1CB;MAP2K1;HK3;FLOT2,KEGG_2021_Human,Insulin signaling pathway,-0.0,ns,False,Dwarfhamster_ld
294,prerank,KEGG_2021_Human__beta-Alanine metabolism,0.31958569583016505,0.7096772710223653,0.8207934336525308,1.0,1.0,2/21,5.66%,ALDH3B1;CNDP2,KEGG_2021_Human,beta-Alanine metabolism,-0.0,ns,False,Dwarfhamster_ld
293,prerank,KEGG_2021_Human__mTOR signaling pathway,0.2626663412953576,0.7128803414504175,0.8877005347593583,1.0,1.0,24/109,21.00%,TNFRSF1A;DDIT4;EIF4EBP1;LPIN2;ATP6V1G1;IKBKB;SESN2;SLC3A2;RPS6KA1;MAP2K2;LAMTOR4;WNT4;ATP6V1F;EIF4E2;LAMTOR3;MAP2K1;RRAGD;FLCN;FNIP2;PRR5;FZD4;DEPDC5;LAMTOR5;LAMTOR2,KEGG_2021_Human,mTOR signaling pathway,-0.0,ns,True,Dwarfhamster_ld
292,prerank,KEGG_2021_Human__Morphine addiction,0.2916400873884153,0.7196120644080936,0.8208232445520581,1.0,1.0,5/43,8.73%,PDE7A;GNGT2;GNG10;GNG5;GRK2,KEGG_2021_Human,Morphine addiction,-0.0,ns,False,Dwarfhamster_ld
291,prerank,KEGG_2021_Human__Fc gamma R-mediated phagocytosis,0.27715130418749073,0.7216960267309915,0.8536585365853658,1.0,1.0,19/64,24.79%,CFL1;ARPC3;LAT;VAV1;ARPC1B;SYK;PLA2G4A;ARPC5L;ARPC5;PRKCD;ASAP3;FCGR2B;MAP2K1;MARCKSL1;LIMK2;CDC42;INPP5D;GSN;ARPC1A,KEGG_2021_Human,Fc gamma R-mediated phagocytosis,-0.0,ns,False,Dwarfhamster_ld
290,prerank,KEGG_2021_Human__Glioma,0.2900082026474967,0.7263011475405744,0.8397515527950311,1.0,1.0,8/48,17.14%,CDKN1A;BAK1;GADD45G;MAP2K2;E2F3;PDGFA;BAX;MAP2K1,KEGG_2021_Human,Glioma,-0.0,ns,False,Dwarfhamster_ld
289,prerank,KEGG_2021_Human__Pyruvate metabolism,0.31413562473592227,0.7493647796801223,0.7997481108312342,0.9875289527005776,1.0,3/34,6.84%,LDHC;PKM;LDHA,KEGG_2021_Human,Pyruvate metabolism,0.005450162725531591,ns,False,Dwarfhamster_ld
287,prerank,KEGG_2021_Human__ErbB signaling pathway,0.30011627284214365,0.754243212959003,0.7978848413631022,0.985563239090826,1.0,8/53,17.14%,CDKN1A;EIF4EBP1;STAT5B;STAT5A;MAP2K2;HBEGF;AREG;MAP2K1,KEGG_2021_Human,ErbB signaling pathway,0.0063155037974904965,ns,False,Dwarfhamster_ld
286,prerank,KEGG_2021_Human__Relaxin signaling pathway,0.2816136054388777,0.7550226611842871,0.8170865279299014,0.9892407286866038,1.0,8/88,7.83%,MMP9;NFKBIA;GNGT2;MAPK13;GNG10;NOS2;GNG5;CREB3,KEGG_2021_Human,Relaxin signaling pathway,0.004698011316285203,ns,False,Dwarfhamster_ld
285,prerank,KEGG_2021_Human__Retinol metabolism,0.34211416458287935,0.7573591827760353,0.7443181818181818,0.9906484650177553,1.0,2/19,4.21%,DHRS9;RDH13,KEGG_2021_Human,Retinol metabolism,0.004080429054041956,ns,False,Dwarfhamster_ld
284,prerank,MSigDB_Hallmark_2020__Estrogen Response Late,0.2749574954923442,0.7588540883498902,0.8545647558386412,0.993376622028827,1.0,23/141,16.23%,ISG20;S100A9;ALDH3B1;GLA;PLAAT3;SNX10;MAPK13;FDFT1;NXT1;BLVRB;BTG3;JAK2;DCXR;BATF;SLC9A3R1;PTPN6;ITPK1;SIAH2;AREG;GINS2;COX6C;TST;SCNN1A,MSigDB_Hallmark_2020,Estrogen Response Late,0.002886064839432708,ns,False,Dwarfhamster_ld
283,prerank,KEGG_2021_Human__Neurotrophin signaling pathway,0.29104797032978774,0.7729778608401342,0.847972972972973,0.9780644231900973,1.0,21/86,23.60%,NFKBIA;NFKBIB;MAPK13;RIPK2;IKBKB;FASLG;ARHGDIA;NTRK1;RPS6KA1;PRDM4;MAP2K2;PRKCD;BAX;MAP2K1;BDNF;NFKBIE;ARHGDIB;MAPKAPK2;CDC42;RELA;IRAK1,KEGG_2021_Human,Neurotrophin signaling pathway,0.009632538142361095,ns,False,Dwarfhamster_ld
282,prerank,KEGG_2021_Human__Glucagon signaling pathway,0.29568776964258514,0.7768407416395255,0.780045351473923,0.976824257303853,1.0,10/67,10.17%,LDHC;PKM;PRKAB1;ITPR1;PYGL;LDHA;SLC2A1;CREB3;PHKG2;PPP4C,KEGG_2021_Human,Glucagon signaling pathway,0.010183564171278402,ns,False,Dwarfhamster_ld
281,prerank,KEGG_2021_Human__Glycerolipid metabolism,0.3248988660504732,0.7773844582108093,0.7298335467349552,0.9808850373526996,1.0,5/36,9.24%,TKFC;GLA;LPIN2;DGAT2;PNPLA2,KEGG_2021_Human,Glycerolipid metabolism,0.008381890243973499,ns,False,Dwarfhamster_ld
280,prerank,KEGG_2021_Human__FoxO signaling pathway,0.29022033560145605,0.7791459562759843,0.8277356446370531,0.9830159265126307,1.0,16/95,11.73%,CDKN1A;ATG12;TNFSF10;MAPK13;PRKAB1;GABARAP;GADD45G;IKBKB;CDKN2B;FASLG;GABARAPL1;CDKN2D;MAP2K2;S1PR1;SOD2;STAT3,KEGG_2021_Human,FoxO signaling pathway,0.007439445809248609,ns,False,Dwarfhamster_ld
279,prerank,KEGG_2021_Human__Arginine and proline metabolism,0.32016811974784587,0.7802449881425985,0.7396907216494846,0.9862094169041022,1.0,5/35,12.47%,ARG2;CNDP2;NOS2;CKMT1B;LAP3,KEGG_2021_Human,Arginine and proline metabolism,0.006030854887457947,ns,False,Dwarfhamster_ld
277,prerank,MSigDB_Hallmark_2020__Protein Secretion,0.29710736116562236,0.7889889428213527,0.7822671156004489,0.9775732517261394,1.0,23/78,22.61%,LAMP2;GLA;SOD1;SNX2;ABCA1;CLTA;GALC;RAB14;GOSR2;COPE;NAPA;SCRN1;M6PR;CTSC;AP2S1;RER1;CD63;PPT1;DNM1L;VAMP4;KRT18;ARF1;TMED10,MSigDB_Hallmark_2020,Protein Secretion,0.009850690066602021,ns,False,Dwarfhamster_ld
275,prerank,KEGG_2021_Human__Proteoglycans in cancer,0.2836868952012219,0.7921988235653962,0.8240165631469979,0.9776255260521991,1.0,19/139,13.63%,MMP9;TLR2;CASP3;FAS;PLAUR;CDKN1A;HCLS1;MAPK13;ITPR1;FASLG;VAV1;MAP2K2;STAT3;PTPN6;WNT4;PPP1CA;HBEGF;ACTG1;RRAS2,KEGG_2021_Human,Proteoglycans in cancer,0.009827467413625383,ns,False,Dwarfhamster_ld
274,prerank,KEGG_2021_Human__Porphyrin and chlorophyll metabolism,0.35100134626719026,0.7950705433570596,0.7129380053908356,0.9782091020242958,1.0,10/24,29.07%,HMOX2;HMOX1;BLVRB;HCCS;ALAD;UROS;UROD;HMBS;COX10;GUSB,KEGG_2021_Human,Porphyrin and chlorophyll metabolism,0.009568300479636247,ns,False,Dwarfhamster_ld
273,prerank,KEGG_2021_Human__Notch signaling pathway,0.3133609302144056,0.8016390448742141,0.7387057387057387,0.9725938370359506,1.0,3/49,5.03%,DTX3L;PSENEN;DLL1,KEGG_2021_Human,Notch signaling pathway,0.012068486721120191,ns,False,Dwarfhamster_ld
271,prerank,KEGG_2021_Human__Endometrial cancer,0.32418890616541446,0.8107885386872812,0.737171464330413,0.9624900413996385,1.0,8/43,17.14%,CDKN1A;BAK1;GADD45G;MAP2K2;CASP9;LEF1;BAX;MAP2K1,KEGG_2021_Human,Endometrial cancer,0.0166037553130295,ns,False,Dwarfhamster_ld
270,prerank,MSigDB_Hallmark_2020__Pperoxisome,0.307380648052666,0.8139347978089557,0.7474860335195531,0.9624508500491753,1.0,12/82,14.24%,ITGB1BP1;TSPO;HMGCL;SOD1;PEX2;ACSL5;ECI2;PRDX5;SOD2;SLC25A19;FDPS;PEX5,MSigDB_Hallmark_2020,Pperoxisome,0.01662143958304781,ns,False,Dwarfhamster_ld
269,prerank,KEGG_2021_Human__Terpenoid backbone biosynthesis,0.3678712382868677,0.817330915393158,0.667578659370725,0.9615368609140243,1.0,9/20,33.56%,DHDDS;FDPS;NUS1;PMVK;ACAT2;IDI1;FNTA;HMGCR;HMGCS1,KEGG_2021_Human,Terpenoid backbone biosynthesis,0.01703406224743718,ns,False,Dwarfhamster_ld
267,prerank,KEGG_2021_Human__Butanoate metabolism,0.38889075985556404,0.8266557480740114,0.6466380543633763,0.9502436097183935,1.0,1/16,3.13%,HMGCL,KEGG_2021_Human,Butanoate metabolism,0.022165042296677775,ns,False,Dwarfhamster_ld
266,prerank,KEGG_2021_Human__Chronic myeloid leukemia,0.3193884749624222,0.8274196571080203,0.7152858809801633,0.9538989255806345,1.0,12/59,17.14%,NFKBIA;CDKN1A;BAK1;STAT5B;GADD45G;IKBKB;STAT5A;MAP2K2;E2F3;BCL2L1;BAX;MAP2K1,KEGG_2021_Human,Chronic myeloid leukemia,0.020497640377777966,ns,False,Dwarfhamster_ld
265,prerank,KEGG_2021_Human__Bile secretion,0.34179498886056403,0.8299160806008226,0.690566037735849,0.9546689768810653,1.0,3/36,7.13%,SCT;NCEH1;SLC2A1,KEGG_2021_Human,Bile secretion,0.020147190128378647,ns,False,Dwarfhamster_ld
264,prerank,KEGG_2021_Human__MicroRNAs in cancer,0.30617701981835843,0.8306362987529582,0.7508055853920516,0.9584385618110319,1.0,9/111,5.44%,PTGS2;MMP9;MCL1;CASP3;SOCS1;CDKN1A;BAK1;DDIT4;HMOX1,KEGG_2021_Human,MicroRNAs in cancer,0.018435721201804905,ns,False,Dwarfhamster_ld
262,prerank,KEGG_2021_Human__T cell receptor signaling pathway,0.3129266193386797,0.8343978116917504,0.7189249720044792,0.9568093464372772,1.0,16/83,19.47%,NFKBIA;NFKBIB;MAPK13;CD8A;IKBKB;LAT;VAV1;GRAP2;LCP2;MAP2K2;PTPN6;MAP3K14;CARD11;MAP2K1;FOS;NFKBIE,KEGG_2021_Human,T cell receptor signaling pathway,0.019174590999571643,ns,False,Dwarfhamster_ld
260,prerank,KEGG_2021_Human__Basal transcription factors,0.3548736776446167,0.8497231743510142,0.6522842639593909,0.9333564996560608,1.0,6/34,14.20%,TBPL1;GTF2F1;TAF12;GTF2B;TAF10;TAF13,KEGG_2021_Human,Basal transcription factors,0.029952443861800872,ns,False,Dwarfhamster_ld
259,prerank,KEGG_2021_Human__Ovarian steroidogenesis,0.380237219374591,0.8534804629050332,0.6422764227642277,0.9313974714719777,1.0,4/22,13.23%,PTGS2;ACOT4;PLA2G4A;ALOX5,KEGG_2021_Human,Ovarian steroidogenesis,0.030864945410435857,ns,False,Dwarfhamster_ld
258,prerank,KEGG_2021_Human__MAPK signaling pathway,0.30347621725362006,0.8537121125747388,0.7617107942973523,0.9360776471946987,1.0,34/199,15.98%,MAX;CSF1;IL1B;CASP3;DUSP1;FAS;MKNK1;TNFRSF1A;MYD88;TRADD;MAPK13;HSPA8;GADD45G;IKBKB;FASLG;NTRK1;TRAF2;DUSP7;DDIT3;RPS6KA1;MAP2K2;PLA2G4A;HSPB1;CD14;DUSP5;RRAS2;VEGFB;AREG;LAMTOR3;MAP2K3;MAP3K14;FLT3;PDGFA;EPHA2,KEGG_2021_Human,MAPK signaling pathway,0.028688125247415337,ns,False,Dwarfhamster_ld
256,prerank,KEGG_2021_Human__RNA transport,0.31981534832175645,0.8738223094956679,0.7101147028154328,0.9033205721516817,1.0,52/132,30.04%,EIF4EBP1;POP7;EIF4A1;RPP14;NXT1;NUP43;RBM8A;EIF3D;RPP40;NXF1;EIF2S1;EIF3G;SAP18;NUP35;RPP25L;NUP50;EIF2B2;RPP30;EIF1AY;EEF1A1;EIF4E2;UBE2I;SUMO4;PHAX;GEMIN4;RPP38;UPF3B;GEMIN5;TACC3;THOC5;TGS1;EIF3H;EIF4A3;EIF4EBP2;EIF3B;EIF3J;DDX39B;EIF4E;EIF3CL;ALYREF;EIF5;NUP214;SEC13;EIF2B1;SEH1L;PAIP1;FXR2;RNPS1;EIF3I;PYM1;MAGOH;CLNS1A,KEGG_2021_Human,RNA transport,0.044158099066570686,ns,False,Dwarfhamster_ld
255,prerank,MSigDB_Hallmark_2020__Notch Signaling,0.37186298596071576,0.8801439008217582,0.6233243967828418,0.8965327949387154,1.0,3/27,5.03%,SAP30;PSENEN;DLL1,MSigDB_Hallmark_2020,Notch Signaling,0.047433819430946315,ns,False,Dwarfhamster_ld
254,prerank,KEGG_2021_Human__PI3K-Akt signaling pathway,0.31339854234665687,0.8835448996088032,0.7192622950819673,0.8945901378222049,1.0,40/217,18.37%,CSF3R;CSF1;MCL1;TLR2;OSM;CDKN1A;DDIT4;PIK3R5;GNGT2;EIF4EBP1;GNG10;CCND3;GNG5;IKBKB;CREB3;FASLG;JAK2;ITGA2B;NTRK1;MAP2K2;LPAR6;CASP9;SYK;IL7;CDC37;LPAR2;SPP1;VEGFB;AREG;PPP2R5C;EIF4E2;BCL2L1;FLT3;PDGFA;EPHA2;LAMA3;MAP2K1;THBS1;BDNF;COL4A4,KEGG_2021_Human,PI3K-Akt signaling pathway,0.04837589390425696,ns,False,Dwarfhamster_ld
253,prerank,KEGG_2021_Human__Human T-cell leukemia virus 1 infection,0.31829132139147187,0.8835963026889171,0.703205791106515,0.8995138418641547,1.0,31/166,15.41%,B2M;TBPL1;IL15RA;TSPO;IL1R2;NFKBIA;TNFRSF1A;CDKN1A;SPI1;HLA-DQA2;STAT5B;CCND3;SLC2A1;ICAM1;IKBKB;STAT5A;HLA-DRA;CDKN2B;CREB3;HLA-DMA;EGR1;KAT5;VAC14;MAP2K2;E2F3;FDPS;LTBR;CD40;BCL2L1;CALR;MAP3K14,KEGG_2021_Human,Human T-cell leukemia virus 1 infection,0.04599214927343942,ns,True,Dwarfhamster_ld
249,prerank,KEGG_2021_Human__Amino sugar and nucleotide sugar metabolism,0.36360123986162923,0.8977640564199282,0.590851334180432,0.8760856949801172,1.0,16/40,25.12%,NPL;PMM2;UAP1L1;CHIT1;AMDHD2;GPI;HK3;GMPPB;NAGK;HK2;CYB5R4;PGM1;PGM2;GNPDA1;GALE;FPGT,KEGG_2021_Human,Amino sugar and nucleotide sugar metabolism,0.05745341091327205,ns,False,Dwarfhamster_ld
247,prerank,MSigDB_Hallmark_2020__Adipogenesis,0.3245610872026916,0.908543703726734,0.6670135275754423,0.8590136385060444,1.0,43/173,21.66%,PLIN2;RETN;MTCH2;SOD1;NKIRAS1;GRPEL1;PFKFB3;GHITM;UBC;ABCA1;IFNGR1;STAT5A;DNAJC15;TALDO1;ALDOA;ARL4A;DECR1;SDHB;ADIPOR2;AK2;NDUFB7;UQCR10;COQ5;VEGFB;NDUFS3;DGAT1;CYC1;NDUFAB1;UCK1;TST;CYP4B1;JAGN1;COX8A;ECHS1;PIM3;SCP2;FZD4;ATP5PO;COX6A1;CRAT;PGM1;DHRS7B;GADD45A,MSigDB_Hallmark_2020,Adipogenesis,0.06599994084757531,ns,False,Dwarfhamster_ld
246,prerank,KEGG_2021_Human__Mucin type O-glycan biosynthesis,0.42780923597274906,0.9090554070081055,0.5855457227138643,0.8627603443822816,1.0,3/18,5.39%,ST3GAL1;B4GALT5;ST6GALNAC4,KEGG_2021_Human,Mucin type O-glycan biosynthesis,0.06410982487193057,ns,False,Dwarfhamster_ld
245,prerank,MSigDB_Hallmark_2020__Hedgehog Signaling,0.3993730941091145,0.9094653893872475,0.574496644295302,0.8668783243850214,1.0,1/25,0.54%,PML,MSigDB_Hallmark_2020,Hedgehog Signaling,0.06204185610687676,ns,False,Dwarfhamster_ld
243,prerank,KEGG_2021_Human__Glycosphingolipid biosynthesis,0.37827858588382773,0.9202223920318411,0.5764248704663213,0.8503922983794445,1.0,4/30,10.24%,ST3GAL1;GLA;ST6GALNAC4;B4GALT3,KEGG_2021_Human,Glycosphingolipid biosynthesis,0.07038068167673397,ns,False,Dwarfhamster_ld
242,prerank,MSigDB_Hallmark_2020__Fatty Acid Metabolism,0.33579847938582685,0.9223740784055581,0.6149789029535865,0.850718274851194,1.0,17/131,12.73%,UBE2L6;PSME1;HMGCL;ERP29;SUCLA2;LDHA;ALDOA;ACSL5;GABARAPL1;ECI2;GLUL;DECR1;CD1D;METAP1;ADIPOR2;OSTC;PDHB,MSigDB_Hallmark_2020,Fatty Acid Metabolism,0.07021423772315244,ns,False,Dwarfhamster_ld
241,prerank,KEGG_2021_Human__Glycerophospholipid metabolism,0.3553797664828316,0.9232203223518343,0.5870307167235495,0.853957621293986,1.0,10/67,15.71%,PLA2G5;PLAAT3;PLA1A;LPIN2;PLA2G4A;MBOAT7;PISD;PLA2G2D;PGS1;ETNK1,KEGG_2021_Human,Glycerophospholipid metabolism,0.0685636811784961,ns,False,Dwarfhamster_ld
239,prerank,KEGG_2021_Human__Protein processing in endoplasmic reticulum,0.33293394427853784,0.9273344034392043,0.614572333685322,0.850328130773945,1.0,34/133,19.21%,EIF2AK2;BAK1;ERP29;DNAJB12;HSPA8;DNAJC3;UBXN1;RAD23A;BCAP31;UFD1;SEC61G;NSFL1C;EIF2S1;TRAF2;DDIT3;UBE2D3;CKAP4;SEC62;LMAN2;DNAJB1;SAR1B;UBE2J2;CASP12;CALR;DDOST;PDIA3;BAX;PDIA6;DERL2;DNAJC5;HSPH1;SEC23B;SAR1A;UBE2G2,KEGG_2021_Human,Protein processing in endoplasmic reticulum,0.07041345324403088,ns,False,Dwarfhamster_ld
238,prerank,MSigDB_Hallmark_2020__Angiogenesis,0.39413320140164854,0.9278895655263233,0.5532194480946123,0.8542383819789265,1.0,7/27,16.08%,PGLYRP1;TIMP1;PRG2;LRPAP1;SPP1;PDGFA;CXCL6,MSigDB_Hallmark_2020,Angiogenesis,0.06842091908671105,ns,False,Dwarfhamster_ld
236,prerank,KEGG_2021_Human__Ras signaling pathway,0.3387457298430001,0.9366901274230849,0.6044071353620147,0.8401685782824502,1.0,29/143,18.28%,PLA2G5;CSF1;PLAAT3;GNGT2;TBK1;PLA1A;RASSF5;GNG10;GNG5;IKBKB;LAT;RAB5C;FASLG;RGL2;NTRK1;MAP2K2;PLA2G4A;PLA2G2D;RRAS2;VEGFB;BCL2L1;RASSF1;FLT3;PDGFA;EPHA2;MAP2K1;RASA4B;ETS2;BDNF,KEGG_2021_Human,Ras signaling pathway,0.07563356480436016,ns,False,Dwarfhamster_ld
235,prerank,KEGG_2021_Human__VEGF signaling pathway,0.38188609374783994,0.9371245469452447,0.5525339925834364,0.8443083442895358,1.0,6/41,11.70%,PTGS2;MAPK13;MAP2K2;CASP9;PLA2G4A;HSPB1,KEGG_2021_Human,VEGF signaling pathway,0.07349891857826207,ns,False,Dwarfhamster_ld
234,prerank,KEGG_2021_Human__Tyrosine metabolism,0.441595518282312,0.9377302425341068,0.5649072753209701,0.8480757734881108,1.0,1/15,2.15%,ALDH3B1,KEGG_2021_Human,Tyrosine metabolism,0.0715653428640498,ns,False,Dwarfhamster_ld
231,prerank,KEGG_2021_Human__Leukocyte transendothelial migration,0.36211708147571686,0.9494442981596388,0.5512679162072768,0.8275352522062006,1.0,13/75,13.33%,NCF2;MMP9;CYBA;MAPK13;RASSF5;CXCR4;NCF4;ICAM1;VAV1;MYL12B;MYL12A;CLDN5;ACTG1,KEGG_2021_Human,Leukocyte transendothelial migration,0.08221349663075603,ns,False,Dwarfhamster_ld
229,prerank,KEGG_2021_Human__Prostate cancer,0.36463978126584873,0.954613296762988,0.5481997677119629,0.8210054800880754,1.0,10/65,11.84%,MMP9;IL1R2;NFKBIA;CDKN1A;IKBKB;CREB3;MAP2K2;CASP9;E2F3;LEF1,KEGG_2021_Human,Prostate cancer,0.08565394402054889,ns,True,Dwarfhamster_ld
227,prerank,KEGG_2021_Human__Peroxisome,0.3715515407621869,0.9634736712967185,0.5266742338251986,0.8060613243162795,1.0,18/67,19.53%,XDH;HMGCL;SOD1;NOS2;PEX2;ACSL5;PAOX;ECI2;PRDX5;ABCD4;SOD2;PEX5;MPV17;PXMP4;PEX16;PXMP2;DAO;SCP2,KEGG_2021_Human,Peroxisome,0.09363191626061343,ns,False,Dwarfhamster_ld
225,prerank,KEGG_2021_Human__Thyroid cancer,0.3976957333647364,0.9694757786794038,0.5120320855614974,0.7974916865920094,1.0,11/34,21.66%,CDKN1A;BAK1;GADD45G;NTRK1;MAP2K2;LEF1;BAX;TPM3;MAP2K1;RXRB;GADD45A,KEGG_2021_Human,Thyroid cancer,0.09827383552599708,ns,False,Dwarfhamster_ld
222,prerank,KEGG_2021_Human__Propanoate metabolism,0.4104748771171057,0.9736727136727759,0.49240506329113926,0.792728150902083,1.0,3/31,6.84%,LDHC;SUCLA2;LDHA,KEGG_2021_Human,Propanoate metabolism,0.10087571911913337,ns,False,Dwarfhamster_ld
220,prerank,MSigDB_Hallmark_2020__Unfolded Protein Response,0.36539685622103585,0.9817271015891473,0.5434543454345434,0.7790467970679067,1.0,36/100,23.87%,ATF3;DDIT4;CHAC1;EIF4EBP1;EIF4A1;DNAJC3;CCL2;EXOSC4;BANF1;EEF2;EIF2S1;GOSR2;RRP9;CEBPB;SRPRA;SERP1;CALR;IMP3;TATDN2;GEMIN4;ASNS;NOP56;PDIA6;EXOSC9;ARFGAP1;CXXC1;MTHFD2;ZBTB17;TTC37;EIF4A3;LSM4;VEGFA;EXOSC5;SEC11A;NOP14;NOLC1,MSigDB_Hallmark_2020,Unfolded Protein Response,0.10843645362662696,ns,False,Dwarfhamster_ld
219,prerank,KEGG_2021_Human__Pancreatic cancer,0.3785057496499358,0.982349816000655,0.4929078014184397,0.7824880080350378,1.0,16/63,23.41%,STAT1;CDKN1A;BAK1;GADD45G;IKBKB;CASP9;STAT3;E2F3;BCL2L1;BAX;MAP2K1;GADD45A;RALA;CDC42;VEGFA;RELA,KEGG_2021_Human,Pancreatic cancer,0.10652230948006701,ns,False,Dwarfhamster_ld
218,prerank,KEGG_2021_Human__Type II diabetes mellitus,0.4181704657407718,0.9836760401718851,0.4818791946308725,0.7845324756728204,1.0,4/29,7.36%,SOCS1;PKM;SOCS3;IKBKB,KEGG_2021_Human,Type II diabetes mellitus,0.10538907411199577,ns,False,Dwarfhamster_ld
216,prerank,KEGG_2021_Human__Sphingolipid signaling pathway,0.3653037762365651,0.9861364477353313,0.506578947368421,0.7837481243032719,1.0,20/92,19.16%,SGPP1;FCER1G;TNFRSF1A;SMPD1;TRADD;BID;MAPK13;MS4A2;ADORA3;TRAF2;FCER1A;MAP2K2;S1PR1;PPP2R5C;DEGS1;SGMS2;BAX;MAP2K1;NSMAF;GNA13,KEGG_2021_Human,Sphingolipid signaling pathway,0.10582348553055858,ns,False,Dwarfhamster_ld
215,prerank,KEGG_2021_Human__Thermogenesis,0.3522586002814833,0.9863508973593271,0.5118191161356629,0.788295139026052,1.0,56/172,23.99%,COX18;COX17;MAPK13;UQCRHL;PRKAB1;NDUFAF3;NDUFA3;NDUFA7;CREB3;NDUFS6;ACSL5;NDUFA9;PNPLA2;ATP5MF;NDUFA13;RPS6KA1;SDHB;NDUFB8;COX14;NDUFAF1;NDUFB7;NDUFA8;UQCR10;COX19;ACTG1;SIRT6;SLC25A20;NDUFS3;MAP2K3;COA3;CYC1;NDUFAB1;NDUFB3;COX6C;NDUFAF5;COA4;NPPB;NDUFS2;COX8A;COX6B1;NDUFV2;NDUFB11;NDUFA6;ATP5ME;ATP5PO;COX6A1;CPT1A;ATP5F1B;COX5A;NDUFS8;SDHA;PLIN1;ATP5F1C;GCG;COX7A2L;COX7B,KEGG_2021_Human,Thermogenesis,0.10331115147932228,ns,False,Dwarfhamster_ld
